account_id,payment_behavior,months_on_book,plan_tier,auto_debit,credit_score_band,bundled_services,complaint_calls,ebill_enrolled,segment,target
ACC0000059,75,55,15,45,65,-30,40,-20,MATURE,0
ACC0000060,75,55,15,-40,10,5,40,30,MATURE,0
ACC0000061,40,55,-35,-40,35,-30,-50,30,YOUNG,0
ACC0000062,10,55,15,-40,-55,5,40,30,YOUNG,0
ACC0000063,40,55,15,-40,10,-30,0,-20,MATURE,0
ACC0000064,75,-10,15,-40,-20,-30,40,30,MATURE,1
ACC0000065,-60,-10,15,45,10,-30,0,30,YOUNG,1
ACC0000066,75,-10,50,-40,10,30,0,30,MATURE,0
ACC0000067,-60,-45,15,45,-55,-30,0,-20,YOUNG,1
ACC0000068,-60,-45,-35,-40,35,55,0,30,YOUNG,1
ACC0000069,10,55,50,45,10,30,0,30,MATURE,0
ACC0000070,10,25,15,45,35,30,40,30,MATURE,0
ACC0000071,40,-45,15,45,10,-30,0,30,YOUNG,0
ACC0000072,75,25,50,-40,-55,-30,40,30,YOUNG,0
ACC0000073,-60,25,15,-40,-55,5,0,30,YOUNG,0
ACC0000074,-25,-10,-35,-40,35,55,40,30,YOUNG,0
ACC0000075,40,25,15,45,-20,55,40,30,MATURE,0
ACC0000076,40,55,50,45,65,5,40,-20,MATURE,0
ACC0000077,75,-10,15,45,10,55,40,30,MATURE,0
ACC0000078,10,-45,15,-40,35,-30,40,-20,YOUNG,1
ACC0000079,40,-10,-35,-40,10,5,0,30,YOUNG,0
ACC0000080,10,-45,15,-40,35,-30,0,30,YOUNG,0
ACC0000081,40,-10,15,-40,-55,-30,-50,30,YOUNG,0
ACC0000082,10,25,15,45,10,-30,-50,30,YOUNG,0
ACC0000083,75,-45,15,45,10,30,40,30,YOUNG,0
ACC0000084,10,-10,50,-40,-20,5,40,30,MATURE,0
ACC0000085,75,-10,15,45,35,-30,40,30,MATURE,0
ACC0000086,10,-45,-35,-40,65,55,40,30,MATURE,0
ACC0000087,10,-45,-35,-40,35,-30,40,30,YOUNG,0
ACC0000088,75,55,50,-40,35,-30,-50,30,YOUNG,0
ACC0000089,-25,-10,15,45,-20,-30,0,30,YOUNG,1
ACC0000090,75,-10,50,45,10,-30,40,30,YOUNG,0
ACC0000091,-60,25,15,-40,65,-30,-50,30,YOUNG,1
ACC0000092,75,25,50,45,35,-30,40,-20,MATURE,0
ACC0000093,40,55,50,45,-20,5,0,30,MATURE,0
ACC0000094,10,-10,15,45,35,-30,0,30,YOUNG,0
ACC0000095,75,25,-35,45,-55,-30,0,-20,MATURE,0
ACC0000096,75,-10,15,-40,35,5,40,-20,MATURE,0
ACC0000097,75,-45,15,45,10,-30,40,30,MATURE,0
ACC0000098,-25,55,50,45,35,30,0,-20,MATURE,0
ACC0000099,40,25,15,45,35,-30,0,30,MATURE,0
ACC0000100,75,-45,-35,45,-20,-30,40,30,YOUNG,0
ACC0000101,40,-45,15,-40,35,55,40,30,MATURE,0
ACC0000102,40,-10,15,45,-20,5,0,30,YOUNG,0
ACC0000103,-25,-10,15,45,-55,30,-50,30,YOUNG,0
ACC0000104,-25,25,-35,45,35,-30,-50,30,YOUNG,0
ACC0000105,-60,25,50,-40,-20,30,0,30,YOUNG,1
ACC0000106,10,-10,15,45,-55,5,-50,-20,YOUNG,1
ACC0000107,75,25,50,45,35,55,40,-20,MATURE,0
ACC0000108,75,-10,15,45,65,30,-50,-20,MATURE,0
ACC0000109,75,-45,-35,-40,-20,55,0,30,YOUNG,0
ACC0000110,10,-45,-35,45,65,-30,0,30,YOUNG,0
ACC0000111,40,55,50,45,10,-30,-50,30,MATURE,0
ACC0000112,75,-45,50,45,10,-30,40,-20,YOUNG,0
ACC0000113,-60,-45,15,45,10,-30,-50,30,YOUNG,0
ACC0000114,40,-10,-35,-40,-55,30,0,30,MATURE,0
ACC0000115,75,25,50,-40,35,30,40,30,MATURE,0
ACC0000116,40,55,15,45,-55,-30,40,30,MATURE,0
ACC0000117,40,25,15,-40,35,-30,40,30,YOUNG,0
ACC0000118,-60,-45,-35,-40,65,30,0,30,YOUNG,0
ACC0000119,10,55,15,-40,35,5,-50,30,YOUNG,0
ACC0000120,10,25,15,45,10,-30,40,30,YOUNG,0
ACC0000121,75,55,-35,-40,10,5,40,30,YOUNG,0
ACC0000122,10,55,15,45,35,55,40,30,YOUNG,0
ACC0000123,40,-10,50,45,-55,55,40,30,YOUNG,0
ACC0000124,-25,25,-35,45,35,55,0,-20,YOUNG,1
ACC0000125,75,-10,50,45,10,5,0,30,YOUNG,0
ACC0000126,40,-45,-35,45,-20,5,40,30,YOUNG,0
ACC0000127,40,-10,15,-40,35,-30,40,30,YOUNG,0
ACC0000128,10,55,-35,-40,35,5,-50,30,YOUNG,0
ACC0000129,40,25,-35,-40,35,30,0,30,MATURE,0
ACC0000130,40,55,50,45,-20,55,40,30,MATURE,0
ACC0000131,75,25,-35,45,10,-30,40,-20,YOUNG,0
ACC0000132,10,55,-35,-40,35,55,0,-20,MATURE,0
ACC0000133,-25,-45,50,-40,65,5,40,30,YOUNG,0
ACC0000134,10,55,50,-40,35,-30,40,-20,YOUNG,0
ACC0000135,40,55,50,45,35,5,40,30,MATURE,0
ACC0000136,10,-10,-35,45,35,-30,-50,30,YOUNG,0
ACC0000137,75,25,15,-40,35,-30,-50,30,YOUNG,0
ACC0000138,-60,55,-35,45,35,-30,40,-20,MATURE,0
ACC0000139,-25,55,15,45,65,5,-50,30,MATURE,0
ACC0000140,75,55,-35,45,35,5,40,30,MATURE,0
ACC0000141,40,55,15,-40,-20,-30,0,30,MATURE,1
ACC0000142,75,55,50,45,10,30,40,30,MATURE,0
ACC0000143,40,55,15,-40,-55,55,40,-20,YOUNG,0
ACC0000144,10,-10,15,45,65,5,40,30,YOUNG,0
ACC0000145,40,-10,15,-40,65,-30,-50,30,YOUNG,0
ACC0000146,-60,-45,15,45,10,30,40,-20,MATURE,0
ACC0000147,-25,55,50,45,10,30,40,30,MATURE,0
ACC0000148,75,55,15,-40,-20,-30,-50,-20,MATURE,0
ACC0000149,10,25,-35,-40,65,5,40,30,YOUNG,0
ACC0000150,10,25,-35,-40,-20,55,0,30,YOUNG,0
ACC0000151,75,-45,15,45,-55,-30,40,30,YOUNG,0
ACC0000152,-25,-45,-35,-40,10,5,0,30,YOUNG,0
ACC0000153,-60,-10,15,45,-20,55,0,30,YOUNG,0
ACC0000154,75,-45,50,-40,35,-30,0,30,MATURE,0
ACC0000155,40,55,50,-40,10,-30,40,-20,MATURE,0
ACC0000156,-60,-10,15,-40,35,5,40,-20,YOUNG,0
ACC0000157,75,-45,-35,-40,10,5,0,30,YOUNG,0
ACC0000158,40,55,15,45,-20,55,0,-20,MATURE,0
ACC0000159,10,-45,15,-40,-20,30,-50,-20,YOUNG,0
ACC0000160,40,25,15,-40,-55,5,40,30,YOUNG,1
ACC0000161,-60,-10,50,-40,10,-30,0,30,YOUNG,0
ACC0000162,10,-10,-35,45,65,-30,0,30,YOUNG,0
ACC0000163,40,-10,15,45,10,-30,0,30,MATURE,0
ACC0000164,10,-45,-35,45,10,55,0,-20,YOUNG,0
ACC0000165,75,-10,15,-40,-20,5,-50,30,YOUNG,0
ACC0000166,75,55,50,-40,35,-30,0,30,YOUNG,0
ACC0000167,40,55,15,45,35,-30,40,30,MATURE,0
ACC0000168,40,-45,15,-40,-20,5,0,30,YOUNG,0
ACC0000169,-25,-45,15,45,-20,-30,-50,30,YOUNG,0
ACC0000170,10,-10,-35,45,10,5,-50,30,YOUNG,0
ACC0000171,10,-45,15,-40,-55,5,-50,30,YOUNG,1
ACC0000172,75,55,50,45,10,30,40,-20,MATURE,0
ACC0000173,10,-10,-35,45,35,-30,40,30,MATURE,0
ACC0000174,40,-10,-35,45,35,5,0,30,YOUNG,0
ACC0000175,75,-45,-35,-40,-20,30,40,30,YOUNG,0
ACC0000176,75,-45,15,-40,-20,5,-50,30,YOUNG,0
ACC0000177,40,-45,50,45,-20,30,40,30,MATURE,0
ACC0000178,75,55,50,45,65,30,40,-20,MATURE,0
ACC0000179,-25,25,50,-40,35,30,40,30,MATURE,0
ACC0000180,40,-10,15,-40,35,-30,40,30,YOUNG,0
ACC0000181,10,55,15,45,35,55,40,-20,MATURE,0
ACC0000182,10,-45,-35,45,65,-30,0,30,YOUNG,0
ACC0000183,75,25,15,-40,35,-30,0,30,MATURE,0
ACC0000184,40,25,-35,45,10,30,40,30,MATURE,0
ACC0000185,40,55,15,45,65,5,40,30,MATURE,0
ACC0000186,40,-10,-35,45,65,-30,-50,30,YOUNG,1
ACC0000187,10,-10,50,-40,35,-30,-50,-20,MATURE,0
ACC0000188,-60,-10,-35,45,35,30,0,-20,YOUNG,0
ACC0000189,-25,-45,-35,45,65,-30,-50,-20,YOUNG,1
ACC0000190,40,-45,-35,45,-20,-30,0,-20,YOUNG,0
ACC0000191,10,55,15,-40,-55,-30,-50,-20,YOUNG,1
ACC0000192,-25,-45,-35,45,10,55,0,30,YOUNG,0
ACC0000193,-60,-10,15,45,10,-30,40,30,YOUNG,1
ACC0000194,40,55,50,-40,35,-30,40,30,MATURE,0
ACC0000195,-60,-10,15,-40,-55,-30,-50,-20,YOUNG,0
ACC0000196,10,-10,-35,45,35,-30,-50,30,YOUNG,0
ACC0000197,10,25,50,45,-55,55,0,30,YOUNG,1
ACC0000198,-25,-10,-35,-40,10,-30,40,30,YOUNG,0
ACC0000199,10,25,-35,45,10,30,40,-20,YOUNG,0
ACC0000200,75,55,15,-40,65,55,0,30,MATURE,0
ACC0000201,75,55,15,45,10,30,0,30,MATURE,0
ACC0000202,75,-10,15,-40,-20,5,0,-20,YOUNG,0
ACC0000203,75,25,-35,45,65,55,0,-20,MATURE,0
ACC0000204,10,55,-35,45,-20,-30,40,30,YOUNG,0
ACC0000205,40,55,15,45,35,30,40,30,MATURE,0
ACC0000206,10,-45,-35,45,10,-30,40,30,YOUNG,0
ACC0000207,10,-10,-35,-40,10,30,0,30,YOUNG,0
ACC0000208,-60,55,15,-40,10,5,0,30,YOUNG,1
ACC0000209,-60,25,50,45,35,55,0,30,MATURE,0
ACC0000210,-60,-10,-35,45,35,5,40,30,YOUNG,1
ACC0000211,-60,-45,15,-40,-55,-30,0,30,YOUNG,1
ACC0000212,75,-10,15,45,35,5,40,-20,MATURE,0
ACC0000213,-60,-45,15,45,65,55,0,30,MATURE,0
ACC0000214,10,-45,-35,45,10,5,40,30,YOUNG,0
ACC0000215,40,-45,-35,-40,-20,5,40,30,YOUNG,0
ACC0000216,40,55,15,45,10,30,40,30,MATURE,0
ACC0000217,10,25,15,-40,-55,-30,-50,30,YOUNG,1
ACC0000218,-60,25,-35,45,-55,-30,40,30,YOUNG,0
ACC0000219,75,25,-35,-40,10,-30,-50,30,YOUNG,0
ACC0000220,40,25,15,45,10,-30,40,30,MATURE,0
ACC0000221,10,55,-35,-40,35,5,0,-20,YOUNG,0
ACC0000222,40,55,-35,-40,65,30,40,30,MATURE,0
ACC0000223,10,-45,50,-40,10,55,40,30,MATURE,0
ACC0000224,75,25,-35,45,65,-30,40,30,YOUNG,1
ACC0000225,40,-45,15,-40,35,5,40,30,YOUNG,0
ACC0000226,40,-45,-35,-40,35,-30,0,30,YOUNG,0
ACC0000227,75,-45,-35,-40,10,-30,40,-20,YOUNG,1
ACC0000228,40,55,15,45,-20,-30,40,30,MATURE,0
ACC0000229,75,25,50,45,65,30,-50,-20,MATURE,0
ACC0000230,40,-45,15,45,-55,-30,0,30,YOUNG,0
ACC0000231,75,55,15,45,10,55,0,30,MATURE,0
ACC0000232,40,-10,-35,-40,10,5,-50,30,YOUNG,1
ACC0000233,40,-10,15,-40,10,5,40,30,YOUNG,1
ACC0000234,-25,55,-35,45,-55,-30,0,30,YOUNG,1
ACC0000235,40,55,15,45,-55,-30,-50,30,YOUNG,1
ACC0000236,40,-45,15,45,-20,30,-50,30,YOUNG,1
ACC0000237,10,25,-35,-40,65,-30,40,30,YOUNG,1
ACC0000238,40,-10,-35,45,35,-30,40,30,YOUNG,0
ACC0000239,40,-10,50,-40,-55,5,40,-20,YOUNG,0
ACC0000240,10,25,15,45,35,55,40,30,MATURE,0
ACC0000241,10,25,-35,45,65,-30,0,-20,MATURE,0
ACC0000242,40,-10,15,45,-20,-30,-50,30,YOUNG,1
ACC0000243,40,55,-35,45,10,5,0,30,YOUNG,0
ACC0000244,75,25,-35,-40,10,5,40,30,YOUNG,0
ACC0000245,-60,-45,-35,-40,-55,30,40,30,YOUNG,0
ACC0000246,40,25,50,45,65,5,0,-20,MATURE,0
ACC0000247,40,-10,-35,45,65,-30,40,30,MATURE,0
ACC0000248,75,25,15,-40,10,-30,40,30,YOUNG,0
ACC0000249,-25,25,15,45,-20,5,40,-20,MATURE,0
ACC0000250,40,25,-35,45,35,55,40,30,MATURE,0
ACC0000251,75,-45,15,-40,10,-30,0,-20,MATURE,1
ACC0000252,-25,-10,-35,-40,-20,-30,0,30,YOUNG,1
ACC0000253,75,-45,50,-40,35,5,-50,30,YOUNG,0
ACC0000254,75,-45,15,45,35,5,0,30,YOUNG,1
ACC0000255,40,-10,50,-40,35,-30,40,-20,MATURE,0
ACC0000256,75,25,50,45,-20,5,-50,-20,MATURE,0
ACC0000257,-60,-45,-35,45,65,-30,-50,30,YOUNG,1
ACC0000258,-25,-45,15,45,10,55,40,30,MATURE,0
ACC0000259,10,55,15,45,65,30,40,-20,MATURE,0
ACC0000260,-25,-10,15,-40,-20,-30,-50,-20,YOUNG,1
ACC0000261,-25,-45,-35,-40,10,-30,40,-20,YOUNG,1
ACC0000262,40,55,50,45,35,5,0,30,MATURE,0
ACC0000263,40,55,50,45,35,5,0,30,MATURE,0
ACC0000264,75,55,-35,45,10,-30,-50,30,YOUNG,0
ACC0000265,-25,-10,-35,-40,-20,5,0,30,MATURE,1
ACC0000266,75,55,-35,45,-20,5,-50,30,YOUNG,1
ACC0000267,40,25,50,-40,65,-30,40,30,YOUNG,0
ACC0000268,-25,-10,-35,-40,-20,5,40,30,YOUNG,1
ACC0000269,40,55,-35,45,-20,5,0,30,YOUNG,0
ACC0000270,-25,55,50,45,10,-30,40,-20,MATURE,0
ACC0000271,10,55,-35,45,10,-30,0,30,YOUNG,0
ACC0000272,40,25,15,45,10,5,0,30,MATURE,0
ACC0000273,10,25,-35,45,-55,30,0,30,YOUNG,0
ACC0000274,75,55,15,45,35,55,40,30,MATURE,0
ACC0000275,75,-45,-35,45,10,5,0,-20,MATURE,1
ACC0000276,40,-10,-35,-40,10,5,0,30,YOUNG,0
ACC0000277,40,55,-35,45,-20,30,40,-20,MATURE,0
ACC0000278,10,55,-35,-40,35,-30,40,-20,MATURE,1
ACC0000279,-25,-45,50,45,35,30,40,30,MATURE,0
ACC0000280,40,25,50,45,-20,-30,0,-20,MATURE,0
ACC0000281,40,-45,15,-40,10,30,40,30,YOUNG,1
ACC0000282,75,55,15,45,10,5,40,30,MATURE,0
ACC0000283,-60,-45,15,45,10,5,-50,30,YOUNG,1
ACC0000284,75,-10,15,-40,10,-30,-50,-20,YOUNG,0
ACC0000285,40,25,50,45,65,-30,0,30,MATURE,0
ACC0000286,10,55,50,45,-55,30,-50,-20,YOUNG,1
ACC0000287,40,25,50,-40,-55,5,40,-20,YOUNG,0
ACC0000288,-25,-45,-35,-40,35,-30,0,30,YOUNG,0
ACC0000289,40,25,-35,-40,35,5,40,30,MATURE,0
ACC0000290,40,-45,-35,-40,35,-30,0,30,YOUNG,1
ACC0000291,10,55,15,45,35,-30,0,30,MATURE,0
ACC0000292,40,-45,-35,-40,35,-30,40,30,YOUNG,0
ACC0000293,75,55,50,45,65,55,-50,30,MATURE,0
ACC0000294,75,55,15,45,65,30,0,-20,MATURE,0
ACC0000295,75,55,15,45,10,30,40,-20,MATURE,0
ACC0000296,40,55,-35,-40,10,5,0,30,YOUNG,0
ACC0000297,75,25,15,45,35,5,40,30,MATURE,0
ACC0000298,10,-45,-35,45,65,-30,0,30,YOUNG,0
ACC0000299,40,-10,-35,-40,65,30,0,-20,YOUNG,0
ACC0000300,75,-10,-35,45,-55,5,40,30,YOUNG,0
ACC0000301,40,55,-35,45,65,-30,40,-20,MATURE,0
ACC0000302,-25,55,-35,45,-20,5,0,-20,YOUNG,1
ACC0000303,75,55,-35,45,65,30,-50,30,MATURE,0
ACC0000304,40,25,15,-40,10,5,40,30,YOUNG,0
ACC0000305,40,-45,15,45,-55,-30,0,-20,MATURE,0
ACC0000306,40,-10,-35,45,10,5,0,30,YOUNG,0
ACC0000307,-25,25,-35,-40,65,30,40,30,MATURE,0
ACC0000308,10,-45,15,-40,-20,-30,0,30,YOUNG,1
ACC0000309,10,-45,15,-40,-20,-30,40,30,YOUNG,1
ACC0000310,10,55,-35,45,10,-30,40,-20,MATURE,0
ACC0000311,10,-45,-35,-40,10,5,40,30,YOUNG,0
ACC0000312,40,-45,15,-40,-55,-30,40,30,YOUNG,1
ACC0000313,-25,25,15,-40,10,-30,40,30,MATURE,0
ACC0000314,-60,25,15,-40,35,30,0,30,YOUNG,0
ACC0000315,10,-45,50,-40,-55,-30,40,30,YOUNG,0
ACC0000316,75,55,-35,-40,35,5,-50,-20,YOUNG,0
ACC0000317,40,55,15,-40,35,-30,40,-20,MATURE,0
ACC0000318,10,-10,15,45,10,-30,40,30,MATURE,0
ACC0000319,40,55,50,45,10,55,0,30,MATURE,0
ACC0000320,10,55,15,45,-20,5,-50,30,MATURE,0
ACC0000321,-25,-10,15,45,35,55,40,-20,YOUNG,0
ACC0000322,75,-45,15,-40,-20,5,40,30,YOUNG,1
ACC0000323,-25,-10,15,-40,-55,-30,40,30,YOUNG,0
ACC0000324,40,-45,50,45,10,30,40,30,YOUNG,0
ACC0000325,-60,25,15,-40,-55,30,40,30,MATURE,1
ACC0000326,40,25,50,45,65,-30,40,-20,MATURE,0
ACC0000327,40,-45,-35,-40,35,55,0,30,YOUNG,0
ACC0000328,40,-45,15,45,35,5,-50,30,MATURE,0
ACC0000329,40,-45,-35,-40,65,-30,40,-20,YOUNG,1
ACC0000330,10,-45,15,45,35,-30,40,30,YOUNG,0
ACC0000331,10,-45,50,45,35,30,-50,-20,YOUNG,0
ACC0000332,-25,-10,15,45,65,30,40,30,YOUNG,0
ACC0000333,10,25,15,45,-55,-30,0,30,YOUNG,1
ACC0000334,-25,-10,-35,45,10,5,40,-20,YOUNG,1
ACC0000335,75,25,15,45,10,5,40,-20,MATURE,0
ACC0000336,40,25,50,-40,65,5,40,-20,MATURE,0
ACC0000337,40,55,-35,45,-20,30,0,30,MATURE,0
ACC0000338,10,25,50,-40,35,5,-50,30,MATURE,0
ACC0000339,40,55,15,45,35,5,40,30,MATURE,0
ACC0000340,-25,-10,15,45,10,-30,0,30,YOUNG,0
ACC0000341,40,55,-35,45,10,-30,40,30,YOUNG,0
ACC0000342,40,-10,15,-40,35,5,-50,30,YOUNG,0
ACC0000343,10,-45,-35,45,10,55,-50,-20,YOUNG,0
ACC0000344,10,-10,-35,-40,65,-30,-50,30,YOUNG,1
ACC0000345,-25,25,-35,45,65,-30,0,30,MATURE,0
ACC0000346,10,-45,15,45,-55,-30,-50,30,YOUNG,0
ACC0000347,-25,-10,50,-40,10,-30,40,30,YOUNG,0
ACC0000348,40,55,-35,45,10,30,40,30,MATURE,0
ACC0000349,40,-10,-35,-40,-20,-30,40,30,YOUNG,1
ACC0000350,10,-45,50,45,35,-30,40,30,YOUNG,0
ACC0000351,10,55,50,45,35,55,-50,30,YOUNG,0
ACC0000352,40,25,-35,45,10,-30,40,30,YOUNG,1
ACC0000353,10,25,15,45,-55,-30,-50,30,YOUNG,0
ACC0000354,-60,25,15,45,35,30,0,-20,MATURE,0
ACC0000355,-60,-10,50,45,65,5,0,-20,MATURE,0
ACC0000356,75,25,15,-40,-20,5,40,30,MATURE,0
ACC0000357,10,25,15,45,-20,-30,40,30,MATURE,0
ACC0000358,10,25,15,-40,35,-30,0,30,YOUNG,1
ACC0000359,40,-45,50,-40,35,-30,0,30,YOUNG,0
ACC0000360,-60,25,15,-40,-55,30,-50,30,YOUNG,0
ACC0000361,40,-10,-35,45,10,30,40,-20,MATURE,0
ACC0000362,-25,55,15,-40,65,30,-50,30,YOUNG,0
ACC0000363,40,-45,-35,-40,10,5,40,30,YOUNG,0
ACC0000364,75,-10,15,45,65,-30,40,30,MATURE,0
ACC0000365,75,55,-35,-40,10,-30,-50,-20,YOUNG,0
ACC0000366,-25,55,50,45,10,5,0,30,MATURE,0
ACC0000367,10,-10,15,45,10,5,0,30,YOUNG,0
ACC0000368,75,-10,15,45,35,30,0,30,MATURE,0
ACC0000369,-60,55,50,-40,65,5,40,30,MATURE,0
ACC0000370,10,-10,50,45,10,5,40,30,MATURE,0
ACC0000371,75,25,50,-40,65,30,-50,-20,MATURE,0
ACC0000372,-25,-45,15,45,-20,55,40,30,YOUNG,0
ACC0000373,75,55,-35,45,10,5,-50,-20,YOUNG,0
ACC0000374,-25,-10,-35,45,10,-30,-50,30,YOUNG,0
ACC0000375,-25,25,-35,-40,10,55,0,30,YOUNG,0
ACC0000376,-25,-10,15,45,-20,30,0,30,MATURE,0
ACC0000377,-25,-45,15,45,10,30,40,-20,YOUNG,0
ACC0000378,75,25,15,-40,35,5,-50,30,MATURE,0
ACC0000379,75,25,15,45,10,-30,-50,-20,YOUNG,0
ACC0000380,-25,25,50,45,10,5,40,30,MATURE,0
ACC0000381,10,25,-35,45,65,30,-50,-20,MATURE,0
ACC0000382,10,-45,50,-40,10,5,-50,-20,MATURE,1
ACC0000383,40,-45,50,-40,35,-30,-50,30,YOUNG,0
ACC0000384,10,-10,50,-40,-20,5,0,30,YOUNG,1
ACC0000385,40,25,15,45,-55,-30,-50,-20,YOUNG,0
ACC0000386,40,25,15,45,-55,-30,0,30,YOUNG,0
ACC0000387,75,-10,15,45,10,30,0,-20,MATURE,0
ACC0000388,40,-45,15,45,-55,-30,0,30,YOUNG,0
ACC0000389,40,55,15,-40,35,5,0,30,MATURE,0
ACC0000390,75,-10,-35,45,10,-30,0,30,YOUNG,0
ACC0000391,10,55,15,-40,35,30,-50,30,MATURE,0
ACC0000392,10,55,15,45,35,-30,0,30,YOUNG,0
ACC0000393,40,25,15,45,10,55,-50,30,YOUNG,0
ACC0000394,40,-10,-35,-40,10,-30,-50,30,YOUNG,1
ACC0000395,10,25,50,-40,35,5,-50,-20,MATURE,0
ACC0000396,75,55,50,-40,35,30,-50,30,MATURE,0
ACC0000397,40,-10,50,-40,-55,5,0,30,YOUNG,1
ACC0000398,10,55,50,45,10,-30,0,30,MATURE,0
ACC0000399,40,-45,-35,-40,10,55,40,-20,YOUNG,1
ACC0000400,10,-45,15,45,-20,-30,40,30,YOUNG,1
ACC0000401,10,-10,-35,-40,10,55,0,30,YOUNG,0
ACC0000402,10,55,50,45,35,-30,-50,30,MATURE,0
ACC0000403,-60,55,15,45,10,30,40,30,MATURE,0
ACC0000404,10,-45,15,-40,-20,-30,40,30,YOUNG,0
ACC0000405,40,25,15,45,-55,-30,-50,30,YOUNG,0
ACC0000406,-60,25,15,45,-20,5,0,30,YOUNG,0
ACC0000407,-25,-10,15,45,10,55,40,30,MATURE,0
ACC0000408,10,25,15,-40,10,5,-50,-20,YOUNG,1
ACC0000409,75,-45,-35,-40,10,30,0,30,YOUNG,0
ACC0000410,-60,25,15,-40,-55,-30,40,-20,YOUNG,1
ACC0000411,10,-45,15,-40,-20,5,40,30,YOUNG,1
ACC0000412,40,55,15,45,10,-30,40,30,MATURE,0
ACC0000413,40,-10,50,45,10,-30,40,30,YOUNG,0
ACC0000414,40,-10,50,-40,35,-30,40,30,YOUNG,0
ACC0000415,40,-10,-35,45,65,-30,40,-20,YOUNG,0
ACC0000416,40,-45,15,-40,10,-30,0,-20,YOUNG,0
