account_id,payment_history,credit_utilization,account_tenure,monthly_income,num_credit_lines,recent_inquiries,segment,target
ACC0000036,75,5,5,35,-10,-15,CONSUMER,0
ACC0000037,10,35,30,-45,-40,15,CONSUMER,0
ACC0000038,-25,-30,-35,35,-10,-45,CONSUMER,0
ACC0000039,75,5,30,10,-40,-15,CONSUMER,0
ACC0000040,-60,35,-35,-20,-40,15,CONSUMER,0
ACC0000041,10,-30,30,60,-10,45,CONSUMER,1
ACC0000042,10,65,55,-20,20,45,CONSUMER,0
ACC0000043,-60,65,5,35,20,15,SME,0
ACC0000044,-25,35,-50,35,-10,-45,CONSUMER,0
ACC0000045,10,-30,30,35,40,-45,SME,1
ACC0000046,-25,5,30,-45,-10,-15,CONSUMER,0
ACC0000047,-25,65,-50,60,-10,-45,CONSUMER,0
ACC0000048,-60,35,5,60,20,-15,CONSUMER,0
ACC0000049,40,35,5,35,-10,-15,CONSUMER,0
ACC0000050,-60,35,30,10,-10,-15,CONSUMER,0
ACC0000051,40,5,55,-20,-10,-15,CONSUMER,0
ACC0000052,-25,5,-35,35,-10,-15,SME,0
ACC0000053,75,-55,5,-45,-40,-15,CONSUMER,0
ACC0000054,10,-55,-35,35,40,15,SME,0
ACC0000055,-25,5,30,35,-40,15,CONSUMER,0
ACC0000056,-60,5,30,35,-40,-15,CONSUMER,0
ACC0000057,10,35,55,10,-40,-15,CONSUMER,0
ACC0000058,40,35,5,10,-40,15,ENTERPRISE,0
ACC0000059,75,35,30,10,20,-15,CONSUMER,0
ACC0000060,10,5,-50,-20,-10,15,CONSUMER,0
ACC0000061,-25,5,-50,10,40,-45,CONSUMER,0
ACC0000062,-25,35,5,-20,-10,-45,CONSUMER,1
ACC0000063,-25,-30,5,-20,-10,-15,CONSUMER,0
ACC0000064,40,35,-35,60,40,15,CONSUMER,1
ACC0000065,-60,65,-35,10,20,45,CONSUMER,0
ACC0000066,10,35,5,10,-10,15,SME,0
ACC0000067,-60,-30,-35,-45,-10,-15,CONSUMER,0
ACC0000068,75,5,55,-45,-40,-15,ENTERPRISE,0
ACC0000069,-25,65,5,-20,40,15,CONSUMER,0
ACC0000070,10,35,-35,35,-10,-15,CONSUMER,0
ACC0000071,75,5,-35,-20,40,45,CONSUMER,0
ACC0000072,10,35,30,10,-10,15,CONSUMER,0
ACC0000073,40,35,30,10,40,-45,CONSUMER,0
ACC0000074,40,-30,5,35,20,15,CONSUMER,1
ACC0000075,-25,5,5,60,-10,45,CONSUMER,0
ACC0000076,-25,65,30,10,-40,45,SME,0
ACC0000077,40,35,5,-45,40,-15,CONSUMER,0
ACC0000078,10,35,5,35,-10,45,CONSUMER,0
ACC0000079,-25,5,5,-45,-40,-45,SME,0
ACC0000080,40,35,30,10,-10,-15,CONSUMER,0
ACC0000081,10,-55,-50,60,20,15,SME,1
ACC0000082,40,-30,30,10,-10,-15,CONSUMER,0
ACC0000083,75,-55,-35,35,-10,-15,CONSUMER,0
ACC0000084,40,65,30,60,-40,45,CONSUMER,0
ACC0000085,-60,35,30,35,-10,-15,CONSUMER,0
ACC0000086,-25,65,5,60,40,15,CONSUMER,0
ACC0000087,75,5,-35,10,20,-15,CONSUMER,0
ACC0000088,-60,-55,5,10,20,15,CONSUMER,1
ACC0000089,10,5,30,-45,20,45,SME,0
ACC0000090,-25,65,5,10,-40,15,CONSUMER,0
ACC0000091,75,65,5,-20,40,-45,CONSUMER,0
ACC0000092,75,5,-35,35,-10,45,CONSUMER,0
ACC0000093,75,35,5,-45,-40,-45,SME,0
ACC0000094,-25,-30,5,10,-40,-15,CONSUMER,1
ACC0000095,10,-55,30,60,40,-45,CONSUMER,1
ACC0000096,40,35,5,-45,20,-45,CONSUMER,1
ACC0000097,40,65,-35,-45,-10,-45,SME,0
ACC0000098,40,65,55,60,40,45,CONSUMER,0
ACC0000099,-60,5,55,-45,40,-15,CONSUMER,1
ACC0000100,75,5,55,-20,20,45,CONSUMER,0
ACC0000101,10,5,30,35,-40,15,CONSUMER,0
ACC0000102,-25,-30,30,35,-40,-15,CONSUMER,1
ACC0000103,-25,5,5,10,40,-15,CONSUMER,0
ACC0000104,10,65,5,-20,40,15,SME,0
ACC0000105,10,65,30,35,-10,15,CONSUMER,1
ACC0000106,-25,5,5,35,-10,15,CONSUMER,0
ACC0000107,-60,5,30,-20,-10,-15,CONSUMER,0
ACC0000108,10,-55,-35,35,20,-45,CONSUMER,0
ACC0000109,10,65,-35,35,-10,45,SME,0
ACC0000110,10,5,-35,10,-40,-45,CONSUMER,0
ACC0000111,-25,-30,-35,10,40,15,CONSUMER,0
ACC0000112,75,-30,55,35,-40,45,CONSUMER,0
ACC0000113,-25,35,5,60,20,15,CONSUMER,0
ACC0000114,40,35,5,10,20,-15,CONSUMER,0
ACC0000115,40,-30,30,60,-40,-15,SME,0
ACC0000116,10,5,5,10,20,15,CONSUMER,1
ACC0000117,40,-30,30,35,-10,45,CONSUMER,0
ACC0000118,-25,35,5,-20,20,-45,CONSUMER,0
ACC0000119,40,-30,-35,10,-10,-15,CONSUMER,0
ACC0000120,-25,65,30,-20,-10,-45,CONSUMER,0
ACC0000121,40,35,5,10,-10,-45,CONSUMER,1
ACC0000122,-25,35,55,60,20,15,CONSUMER,0
ACC0000123,-25,35,-35,35,-10,-15,CONSUMER,0
ACC0000124,10,65,5,35,20,15,CONSUMER,0
ACC0000125,10,65,-35,60,40,45,CONSUMER,0
ACC0000126,10,5,55,60,40,45,CONSUMER,0
ACC0000127,-60,5,5,10,-40,-15,CONSUMER,0
ACC0000128,40,5,30,10,-10,15,CONSUMER,0
ACC0000129,-60,-55,-35,-20,40,15,SME,0
ACC0000130,40,35,30,60,-10,-15,CONSUMER,0
ACC0000131,10,5,5,-20,-10,-45,CONSUMER,0
ACC0000132,40,35,-35,35,-10,45,CONSUMER,0
ACC0000133,10,5,-35,35,40,-45,CONSUMER,0
ACC0000134,10,5,5,10,40,-45,CONSUMER,0
ACC0000135,-25,-55,30,60,-10,-15,SME,0
ACC0000136,10,-55,30,10,-40,45,SME,0
ACC0000137,10,5,5,-20,-40,-45,CONSUMER,0
ACC0000138,-60,35,30,60,-10,-15,CONSUMER,0
ACC0000139,-25,65,30,10,20,-45,CONSUMER,0
ACC0000140,40,65,55,10,-40,45,SME,0
ACC0000141,10,35,5,35,40,-45,CONSUMER,0
ACC0000142,40,5,5,35,-10,45,CONSUMER,0
ACC0000143,-25,35,30,10,40,-45,CONSUMER,0
ACC0000144,-60,5,5,-20,-10,-15,CONSUMER,0
ACC0000145,40,65,5,35,-10,-15,CONSUMER,0
ACC0000146,10,65,5,10,40,-45,CONSUMER,0
ACC0000147,10,-30,5,60,40,-45,CONSUMER,0
ACC0000148,40,5,-35,35,-10,-15,CONSUMER,0
ACC0000149,40,35,-35,10,-40,-15,CONSUMER,0
ACC0000150,-60,35,5,-20,20,-45,CONSUMER,0
ACC0000151,40,65,-35,-45,40,45,CONSUMER,0
ACC0000152,10,35,-50,10,40,15,CONSUMER,0
ACC0000153,75,5,-35,10,-40,-45,CONSUMER,0
ACC0000154,75,-55,-35,60,20,-15,SME,0
ACC0000155,40,65,5,10,20,-15,CONSUMER,0
ACC0000156,-60,35,55,35,-40,15,CONSUMER,0
ACC0000157,-25,-55,5,10,-10,45,CONSUMER,0
ACC0000158,10,5,55,10,-40,45,CONSUMER,0
ACC0000159,10,5,5,35,-40,-15,CONSUMER,0
ACC0000160,10,65,30,-20,20,-45,CONSUMER,0
ACC0000161,-60,-55,30,60,-40,15,CONSUMER,0
ACC0000162,40,5,55,60,40,15,CONSUMER,0
ACC0000163,40,-30,5,60,40,15,CONSUMER,0
ACC0000164,-25,65,-35,10,40,15,CONSUMER,1
ACC0000165,-25,35,5,10,20,-15,CONSUMER,0
ACC0000166,10,35,55,35,-10,-45,CONSUMER,0
ACC0000167,40,35,5,60,20,45,ENTERPRISE,0
ACC0000168,40,65,-50,-20,-10,45,SME,0
ACC0000169,-25,35,-35,-20,-40,-45,SME,0
ACC0000170,40,5,30,10,40,-15,CONSUMER,0
ACC0000171,-60,5,30,-20,20,15,CONSUMER,0
ACC0000172,40,65,-35,-45,-10,-15,SME,0
ACC0000173,-25,-30,30,35,-10,-15,CONSUMER,0
ACC0000174,-60,5,5,-20,-10,15,CONSUMER,0
ACC0000175,-25,5,-50,10,20,45,CONSUMER,0
ACC0000176,75,-30,5,10,-10,-45,CONSUMER,0
ACC0000177,40,35,-35,35,-10,-15,CONSUMER,0
ACC0000178,-60,5,-35,35,-40,-15,SME,0
ACC0000179,10,-30,-50,-20,-10,15,CONSUMER,0
ACC0000180,10,65,5,10,-10,-45,CONSUMER,0
ACC0000181,-60,-30,30,-45,20,-15,SME,0
ACC0000182,40,65,-35,10,-40,-15,CONSUMER,0
ACC0000183,-25,5,5,35,40,15,CONSUMER,1
ACC0000184,75,5,5,-20,40,-45,CONSUMER,0
ACC0000185,75,5,30,10,20,-15,CONSUMER,0
ACC0000186,40,5,5,60,-10,-15,CONSUMER,0
ACC0000187,10,5,30,35,40,15,CONSUMER,0
ACC0000188,-60,-30,5,60,-10,15,CONSUMER,0
ACC0000189,40,-30,55,35,40,-15,CONSUMER,0
ACC0000190,75,65,5,10,-10,45,CONSUMER,0
ACC0000191,10,5,-35,10,-40,15,SME,0
ACC0000192,40,35,-35,60,-10,-45,CONSUMER,0
ACC0000193,75,65,55,35,20,-15,CONSUMER,0
ACC0000194,-60,5,30,35,20,-15,CONSUMER,0
ACC0000195,-60,35,5,10,40,-45,SME,0
ACC0000196,-25,5,5,-45,20,-45,CONSUMER,0
ACC0000197,10,35,5,10,20,-45,CONSUMER,0
ACC0000198,40,65,5,-20,20,15,CONSUMER,0
ACC0000199,-25,5,-35,-20,-10,15,CONSUMER,1
ACC0000200,10,5,55,-20,-10,-15,CONSUMER,0
ACC0000201,40,65,5,35,-10,45,CONSUMER,0
ACC0000202,-60,35,-35,35,-10,15,SME,0
ACC0000203,-25,-30,5,-20,20,-15,CONSUMER,0
ACC0000204,-25,35,-50,10,20,-15,CONSUMER,0
ACC0000205,10,65,-50,35,-40,45,SME,0
ACC0000206,40,35,5,10,40,45,CONSUMER,0
ACC0000207,10,65,30,60,20,-45,CONSUMER,0
ACC0000208,10,5,5,60,-40,-45,CONSUMER,0
ACC0000209,40,65,55,35,-10,15,SME,0
ACC0000210,-60,5,-50,35,-10,15,CONSUMER,0
ACC0000211,10,5,5,-45,-40,15,CONSUMER,0
ACC0000212,-25,65,5,10,20,-15,CONSUMER,0
ACC0000213,10,-55,-50,-45,40,-15,CONSUMER,0
ACC0000214,-60,5,-50,10,-40,-45,ENTERPRISE,1
ACC0000215,40,5,30,10,-10,15,CONSUMER,0
ACC0000216,-25,5,5,60,-10,-15,SME,0
ACC0000217,75,-30,5,10,40,-15,CONSUMER,0
ACC0000218,40,5,55,10,20,-45,CONSUMER,1
ACC0000219,-25,-30,5,-45,40,-45,CONSUMER,0
ACC0000220,-60,35,55,60,-10,-15,CONSUMER,0
ACC0000221,-25,-30,5,10,-10,-15,CONSUMER,0
ACC0000222,10,35,-35,-20,-40,15,CONSUMER,0
ACC0000223,75,65,-35,35,-40,45,SME,0
ACC0000224,40,65,-35,-45,-40,45,CONSUMER,0
ACC0000225,10,5,5,10,-40,15,SME,0
ACC0000226,-25,35,55,10,-40,-45,CONSUMER,1
ACC0000227,75,5,-35,-20,-40,-15,SME,0
ACC0000228,40,35,55,10,-10,-45,CONSUMER,0
ACC0000229,-60,65,30,-20,-40,45,CONSUMER,0
ACC0000230,40,5,5,35,-40,-15,CONSUMER,0
ACC0000231,75,-30,30,35,20,15,CONSUMER,0
ACC0000232,10,-55,-35,10,-10,15,CONSUMER,0
ACC0000233,-60,-30,55,60,-10,-15,CONSUMER,1
ACC0000234,40,65,5,-20,20,45,CONSUMER,0
ACC0000235,40,35,30,-45,-40,-15,CONSUMER,0
ACC0000236,40,5,-35,10,-10,-15,CONSUMER,0
ACC0000237,75,65,30,35,20,-45,CONSUMER,0
ACC0000238,-25,-55,30,-20,40,-15,CONSUMER,0
ACC0000239,40,65,5,10,-40,45,CONSUMER,0
ACC0000240,40,35,55,-45,20,15,SME,0
ACC0000241,10,-30,-50,60,40,15,CONSUMER,0
ACC0000242,40,65,30,-45,20,45,CONSUMER,1
ACC0000243,75,5,5,-45,40,15,CONSUMER,0
ACC0000244,10,-55,5,-45,40,-15,CONSUMER,1
ACC0000245,75,35,5,-20,40,45,CONSUMER,0
ACC0000246,40,35,55,-20,-40,15,CONSUMER,1
ACC0000247,10,5,5,10,20,-45,CONSUMER,1
ACC0000248,10,35,55,-20,20,15,CONSUMER,0
ACC0000249,10,5,30,10,-10,15,CONSUMER,0
ACC0000250,10,5,30,-45,-40,-15,CONSUMER,0
ACC0000251,40,-30,55,-20,40,-45,CONSUMER,0
ACC0000252,75,-30,55,35,-40,45,CONSUMER,0
ACC0000253,40,35,30,-20,40,15,SME,0
ACC0000254,-60,5,30,35,-10,-15,CONSUMER,0
ACC0000255,10,35,30,60,-40,45,CONSUMER,0
ACC0000256,40,5,-35,10,40,45,CONSUMER,0
ACC0000257,10,5,30,-45,-40,-45,CONSUMER,1
ACC0000258,-25,35,30,-20,-10,15,ENTERPRISE,0
ACC0000259,40,5,5,10,-40,15,CONSUMER,0
ACC0000260,-25,35,-35,-45,-10,-15,CONSUMER,0
ACC0000261,-60,5,30,35,20,15,CONSUMER,0
ACC0000262,75,5,5,35,20,45,CONSUMER,0
ACC0000263,-60,5,30,-20,-40,15,SME,0
ACC0000264,40,65,-35,-20,-40,-15,CONSUMER,0
ACC0000265,10,-30,30,-45,-40,-45,CONSUMER,0
ACC0000266,40,5,-35,-20,20,15,CONSUMER,0
ACC0000267,10,35,30,10,20,-15,SME,0
ACC0000268,40,35,5,-20,-40,-45,CONSUMER,0
ACC0000269,-25,35,30,35,-40,15,CONSUMER,0
ACC0000270,-25,5,30,10,40,-15,CONSUMER,0
ACC0000271,-25,35,30,-20,-10,-45,CONSUMER,0
ACC0000272,40,5,5,10,20,15,SME,0
ACC0000273,10,5,-35,-20,-40,-15,SME,1
ACC0000274,-25,5,-35,-20,-40,-45,SME,0
ACC0000275,-60,35,30,35,-40,15,CONSUMER,0
ACC0000276,-25,35,5,10,20,-45,CONSUMER,1
ACC0000277,10,5,30,35,-10,45,CONSUMER,0
ACC0000278,75,35,30,10,-10,-15,CONSUMER,0
ACC0000279,75,-30,55,-20,20,45,CONSUMER,0
ACC0000280,10,35,-35,35,20,-45,CONSUMER,0
ACC0000281,-25,35,-35,10,-10,15,CONSUMER,0
ACC0000282,10,35,5,35,-10,-15,CONSUMER,0
ACC0000283,40,-30,-35,10,-40,-15,SME,0
ACC0000284,40,35,55,10,-10,-15,ENTERPRISE,0
ACC0000285,10,35,55,35,-40,-45,SME,0
ACC0000286,10,-30,-50,35,-10,45,CONSUMER,0
ACC0000287,-60,65,-35,10,-40,45,CONSUMER,1
ACC0000288,40,35,5,10,-10,45,CONSUMER,0
ACC0000289,10,5,-35,-20,-10,-15,CONSUMER,0
ACC0000290,40,-55,30,10,40,-45,CONSUMER,0
ACC0000291,40,5,55,35,-40,15,CONSUMER,0
ACC0000292,40,65,30,60,-10,45,CONSUMER,0
ACC0000293,-25,5,5,-20,20,15,SME,0
ACC0000294,10,5,5,35,-10,-15,CONSUMER,0
ACC0000295,10,5,-35,35,-10,-15,CONSUMER,0
ACC0000296,-25,5,30,60,-40,45,CONSUMER,0
ACC0000297,75,5,-35,35,-10,-45,CONSUMER,0
ACC0000298,10,5,5,10,-40,15,CONSUMER,0
ACC0000299,-25,-30,55,10,-10,15,CONSUMER,0
ACC0000300,40,65,30,10,-10,45,CONSUMER,1
ACC0000301,40,-55,5,35,-40,45,CONSUMER,0
ACC0000302,10,5,5,10,-40,-45,CONSUMER,0
ACC0000303,40,-30,-50,10,-40,15,CONSUMER,0
ACC0000304,10,5,55,-20,40,-15,CONSUMER,0
ACC0000305,40,5,5,-20,-40,15,CONSUMER,0
ACC0000306,75,-30,-35,-20,-10,-15,CONSUMER,0
ACC0000307,-60,-30,-35,35,40,-15,SME,0
ACC0000308,10,5,5,35,20,-45,CONSUMER,0
ACC0000309,40,35,30,10,20,-15,CONSUMER,0
ACC0000310,10,-55,5,60,20,-15,CONSUMER,1
ACC0000311,-25,5,-35,-20,20,-15,SME,0
ACC0000312,40,35,5,10,-10,-45,SME,1
ACC0000313,-25,35,-35,35,-10,-45,SME,0
ACC0000314,10,35,30,10,20,-15,CONSUMER,1
ACC0000315,10,-30,30,35,-40,45,CONSUMER,0
ACC0000316,-25,-30,-50,-20,-10,15,CONSUMER,0
ACC0000317,-60,35,55,-45,20,-45,CONSUMER,0
ACC0000318,-25,-55,-50,10,40,45,CONSUMER,0
ACC0000319,10,-30,30,60,20,-15,CONSUMER,0
ACC0000320,75,65,55,35,20,15,CONSUMER,0
ACC0000321,75,35,-50,35,-10,-45,CONSUMER,0
ACC0000322,-25,-55,5,35,40,-15,CONSUMER,0
ACC0000323,75,35,-35,35,-10,-15,CONSUMER,0
ACC0000324,40,5,-50,35,20,15,SME,0
ACC0000325,10,-30,-35,-45,20,45,CONSUMER,0
ACC0000326,10,35,5,-20,20,15,CONSUMER,0
ACC0000327,40,5,5,35,40,-15,CONSUMER,0
ACC0000328,10,-30,55,35,-40,-15,CONSUMER,0
ACC0000329,40,5,-35,60,20,45,CONSUMER,0
ACC0000330,-25,-30,-50,35,40,15,CONSUMER,1
ACC0000331,75,5,5,-20,-10,-15,CONSUMER,0
ACC0000332,40,35,5,-20,20,45,CONSUMER,0
ACC0000333,40,35,30,35,-10,45,CONSUMER,0
ACC0000334,10,65,-50,35,-10,-45,CONSUMER,0
ACC0000335,10,5,5,60,-40,45,SME,0
ACC0000336,-25,65,-35,-45,20,15,CONSUMER,1
ACC0000337,-60,-30,30,35,20,45,CONSUMER,0
ACC0000338,-25,5,55,-20,-10,-45,CONSUMER,0
ACC0000339,10,5,5,60,-10,-15,CONSUMER,0
ACC0000340,10,35,30,35,-10,15,CONSUMER,0
ACC0000341,-25,-55,-35,-20,-40,15,CONSUMER,0
ACC0000342,-25,5,30,35,20,15,SME,1
ACC0000343,-60,5,5,35,-40,45,CONSUMER,0
ACC0000344,-25,65,5,10,-40,15,CONSUMER,1
ACC0000345,40,5,5,-20,-10,45,SME,0
ACC0000346,40,35,30,10,-10,15,CONSUMER,0
ACC0000347,10,-55,30,10,-40,-15,CONSUMER,0
ACC0000348,-25,-30,-35,60,-10,-45,SME,0
ACC0000349,-25,-30,5,60,-10,45,CONSUMER,0
ACC0000350,40,35,30,35,20,-15,CONSUMER,0
ACC0000351,40,-30,30,35,-40,15,CONSUMER,0
ACC0000352,10,35,5,35,-10,-45,CONSUMER,0
ACC0000353,40,5,-50,-20,40,15,CONSUMER,0
ACC0000354,40,65,5,10,-10,-45,CONSUMER,0
ACC0000355,40,35,5,-20,-10,-45,SME,0
ACC0000356,40,35,-50,35,-10,-45,CONSUMER,0
ACC0000357,-25,-55,30,35,20,45,CONSUMER,0
ACC0000358,75,-30,5,10,-40,15,CONSUMER,0
ACC0000359,10,5,-35,-20,20,-45,SME,0
ACC0000360,75,35,-50,-20,-40,15,CONSUMER,0
ACC0000361,40,35,30,10,-10,-15,CONSUMER,0
ACC0000362,-25,65,-35,10,-10,15,CONSUMER,0
ACC0000363,-60,5,-35,-20,-10,-15,CONSUMER,0
ACC0000364,-25,5,55,35,40,-45,CONSUMER,0
ACC0000365,75,65,30,35,-10,15,CONSUMER,0
ACC0000366,40,5,30,10,40,-15,CONSUMER,1
ACC0000367,10,65,5,35,-10,15,CONSUMER,0
ACC0000368,75,5,-35,-45,-40,45,SME,0
ACC0000369,-25,5,-50,-45,40,45,CONSUMER,0
ACC0000370,75,-30,5,10,40,15,CONSUMER,0
ACC0000371,40,-30,5,10,20,-45,CONSUMER,0
ACC0000372,40,-30,55,-20,-10,15,CONSUMER,0
ACC0000373,10,65,-50,10,-10,-15,CONSUMER,0
ACC0000374,10,35,30,-20,20,15,CONSUMER,0
ACC0000375,10,65,-35,-20,-10,-15,CONSUMER,0
ACC0000376,10,-30,30,60,20,-15,SME,0
ACC0000377,75,5,30,35,40,-15,CONSUMER,0
ACC0000378,-25,-30,30,10,20,-15,CONSUMER,0
ACC0000379,-60,-55,55,60,20,-15,CONSUMER,0
ACC0000380,-25,-55,5,10,40,45,CONSUMER,0
ACC0000381,75,35,5,35,-10,-15,CONSUMER,0
ACC0000382,40,35,-35,10,-10,15,CONSUMER,0
ACC0000383,40,35,30,-45,20,45,CONSUMER,0
ACC0000384,-25,-55,30,35,40,-45,CONSUMER,0
ACC0000385,10,5,5,60,-40,15,CONSUMER,1
ACC0000386,10,-30,30,35,-10,45,CONSUMER,0
ACC0000387,40,65,-35,-20,-10,15,SME,0
ACC0000388,40,-30,5,35,-40,-45,CONSUMER,0
ACC0000389,10,35,5,35,-40,-15,CONSUMER,0
ACC0000390,40,-55,55,-45,-10,-15,CONSUMER,0
ACC0000391,10,-55,30,60,40,-45,CONSUMER,0
ACC0000392,75,-30,30,-45,-40,-15,SME,0
ACC0000393,-60,35,5,-20,-10,-45,CONSUMER,0
ACC0000394,40,5,5,-20,20,15,CONSUMER,0
ACC0000395,40,5,30,-45,40,-15,CONSUMER,0
ACC0000396,10,-30,30,35,20,-45,CONSUMER,0
ACC0000397,-25,-55,-35,10,-10,-45,CONSUMER,0
ACC0000398,-25,-30,5,60,20,-45,CONSUMER,0
ACC0000399,10,5,30,10,-40,-15,CONSUMER,0
ACC0000400,-25,35,-35,10,-40,-45,CONSUMER,0
ACC0000401,10,-30,30,60,-40,45,CONSUMER,0
ACC0000402,-60,65,-35,-45,-10,45,CONSUMER,0
ACC0000403,10,-30,30,10,-10,-15,SME,0
ACC0000404,75,65,-50,10,-40,-15,SME,0
ACC0000405,-25,-30,-50,10,20,45,CONSUMER,1
ACC0000406,-25,-55,30,-20,-40,-45,CONSUMER,0
ACC0000407,-25,-55,-50,-20,20,15,CONSUMER,0
ACC0000408,-25,-55,55,60,-40,-15,CONSUMER,0
ACC0000409,-60,65,-35,-20,20,15,CONSUMER,0
ACC0000410,75,-30,5,35,-10,15,CONSUMER,0
ACC0000411,-25,65,-50,-20,-40,15,CONSUMER,0
ACC0000412,-25,35,-35,60,-10,-45,CONSUMER,0
ACC0000413,10,35,55,-20,-40,45,CONSUMER,0
ACC0000414,-25,35,-50,35,20,-15,CONSUMER,0
ACC0000415,-60,-30,-35,35,-10,-15,ENTERPRISE,0
ACC0000416,40,5,-35,60,40,15,SME,1
ACC0000417,75,35,-35,35,-40,15,CONSUMER,0
ACC0000418,40,5,30,-45,-10,-15,CONSUMER,0
ACC0000419,10,-55,55,35,-40,45,SME,0
ACC0000420,-25,35,30,60,20,15,SME,0
ACC0000421,10,65,5,35,-10,-15,CONSUMER,0
ACC0000422,-60,35,5,-45,-10,-45,CONSUMER,0
ACC0000423,40,35,30,35,20,-15,CONSUMER,0
ACC0000424,10,35,30,-45,20,45,CONSUMER,0
ACC0000425,40,-30,-35,35,-40,-45,ENTERPRISE,0
ACC0000426,10,5,5,35,-10,-15,SME,1
ACC0000427,10,35,5,-20,-40,-15,CONSUMER,0
ACC0000428,75,-30,30,10,-10,-45,CONSUMER,0
ACC0000429,-60,65,5,-45,-10,15,SME,1
ACC0000430,40,65,5,10,40,-15,SME,0
ACC0000431,-60,65,30,60,20,-45,CONSUMER,0
ACC0000432,40,35,-50,-45,-40,-45,CONSUMER,0
ACC0000433,40,65,30,-45,-10,-15,CONSUMER,0
ACC0000434,40,5,30,10,-10,45,CONSUMER,0
ACC0000435,40,35,5,10,40,15,SME,0
ACC0000436,75,5,30,-20,-40,-15,CONSUMER,0
ACC0000437,40,-55,5,60,20,-45,CONSUMER,1
ACC0000438,40,65,5,10,-40,-45,CONSUMER,0
ACC0000439,40,-30,-50,35,20,-15,CONSUMER,0
ACC0000440,75,5,-35,35,20,15,CONSUMER,0
ACC0000441,10,-30,55,60,20,-45,CONSUMER,0
ACC0000442,-25,-30,-35,-20,20,15,CONSUMER,0
ACC0000443,40,65,5,10,-40,-15,ENTERPRISE,0
ACC0000444,40,5,30,60,20,45,CONSUMER,0
ACC0000445,10,5,55,10,40,15,CONSUMER,0
ACC0000446,75,-55,-35,35,40,-15,CONSUMER,1
ACC0000447,10,35,30,60,-40,45,CONSUMER,0
ACC0000448,10,5,30,10,-10,-45,CONSUMER,0
ACC0000449,-25,-30,55,60,20,-45,CONSUMER,1
ACC0000450,75,65,5,35,40,-45,CONSUMER,0
ACC0000451,75,-30,5,10,20,-45,CONSUMER,0
ACC0000452,40,35,5,60,-40,-15,SME,0
ACC0000453,-60,-55,-35,60,-10,45,CONSUMER,0
ACC0000454,-25,-30,5,-20,-10,15,CONSUMER,0
ACC0000455,10,35,-35,-20,-10,-15,CONSUMER,0
ACC0000456,-60,5,5,60,-10,15,CONSUMER,0
ACC0000457,10,5,-35,35,20,-15,CONSUMER,0
ACC0000458,75,-55,30,-20,-40,-15,CONSUMER,0
ACC0000459,-60,35,55,-20,20,-45,CONSUMER,0
ACC0000460,75,35,30,35,40,-45,CONSUMER,0
ACC0000461,-25,5,-35,10,-10,-45,CONSUMER,0
ACC0000462,10,65,30,35,-10,-15,SME,0
ACC0000463,10,-30,-50,10,20,-15,CONSUMER,0
ACC0000464,40,35,55,60,20,15,CONSUMER,0
ACC0000465,75,5,-35,-20,-40,15,SME,0
ACC0000466,10,5,5,-20,20,15,SME,0
ACC0000467,75,-55,30,35,40,-45,SME,0
